epoch,lr,train_loss,train_cls,train_reg,train_mean_dist,val_mean_dist,val_median_dist,val_success_1A,val_success_2A,val_success_5A
179,0.0009927935697768698,5.060245,4.734766,0.162739,0.8388,0.7534,0.6081,0.7383,0.9579,1.0
180,0.0009925248667995907,5.127881,4.786109,0.170886,0.8574,0.737,0.5983,0.7804,0.9579,1.0
181,0.0009922512832981584,5.058506,4.723759,0.167374,0.8374,0.7507,0.5785,0.757,0.972,1.0
182,0.0009919728219835644,5.035342,4.713935,0.160703,0.8293,0.729,0.5609,0.7617,0.9486,1.0
183,0.0009916894856151356,5.07941,4.748971,0.165219,0.8389,0.6839,0.5476,0.7991,0.9766,1.0
184,0.0009914012770005072,5.086857,4.751167,0.167845,0.8394,0.7685,0.5934,0.7243,0.9393,1.0
185,0.000991108198995594,5.067906,4.736521,0.165692,0.8391,0.8239,0.6326,0.7336,0.9393,1.0
186,0.0009908102545045623,5.159768,4.821019,0.169375,0.8449,0.7695,0.6156,0.7243,0.9439,1.0
187,0.0009905074464798022,5.112081,4.783173,0.164454,0.8369,0.7263,0.5384,0.7617,0.9626,1.0
188,0.0009901997779218968,5.124907,4.782155,0.171376,0.8496,0.739,0.5919,0.7523,0.9579,1.0
189,0.0009898872518795932,5.102077,4.757451,0.172313,0.8499,0.7916,0.6413,0.715,0.9393,1.0
190,0.0009895698714497724,5.043002,4.717824,0.162589,0.8319,0.7586,0.5861,0.7477,0.9439,1.0
191,0.0009892476397774185,5.033819,4.704006,0.164907,0.8304,0.753,0.5901,0.7336,0.9626,1.0
192,0.0009889205600555875,4.991957,4.671291,0.160333,0.8279,0.7301,0.5599,0.7757,0.9533,1.0
193,0.0009885886355253757,5.027688,4.699183,0.164253,0.8338,0.7352,0.5589,0.7664,0.9626,1.0
194,0.0009882518694758874,5.058479,4.730484,0.163997,0.8303,0.716,0.574,0.7897,0.9766,1.0
195,0.0009879102652442023,5.066019,4.732285,0.166867,0.8366,0.7287,0.5623,0.7664,0.9626,1.0
196,0.0009875638262153432,5.059073,4.727641,0.165716,0.8347,0.7635,0.5671,0.7477,0.9579,0.9953
197,0.000987212555822241,5.025862,4.706129,0.159867,0.825,0.7571,0.5643,0.757,0.9439,1.0
198,0.0009868564575457022,4.989816,4.668155,0.16083,0.8307,0.7979,0.5973,0.7477,0.9486,1.0
199,0.0009864955349143734,5.068516,4.737867,0.165325,0.8335,0.7602,0.6096,0.743,0.9673,1.0
200,0.000986129791504707,5.028296,4.706477,0.16091,0.8282,0.7534,0.6026,0.7617,0.9626,1.0
201,0.0009857592309409247,5.031582,4.705242,0.16317,0.8313,0.7078,0.5316,0.7664,0.972,1.0
202,0.0009853838568949832,5.030239,4.698606,0.165817,0.8413,0.7664,0.566,0.7383,0.9486,1.0
203,0.0009850036730865363,5.029333,4.702992,0.163171,0.829,0.7505,0.5933,0.757,0.9533,1.0
204,0.000984618683282899,4.992804,4.673056,0.159874,0.824,0.7276,0.5708,0.7617,0.9673,1.0
205,0.0009842288912990096,5.042632,4.722094,0.160269,0.8196,0.762,0.5608,0.757,0.9533,1.0
206,0.0009838343009973924,4.97261,4.654704,0.158953,0.8189,0.7642,0.611,0.757,0.9626,1.0
207,0.0009834349162881188,4.983547,4.665341,0.159103,0.8228,0.7336,0.5528,0.771,0.9579,1.0
208,0.0009830307411287697,5.022336,4.699669,0.161333,0.8262,0.7652,0.6033,0.7757,0.9533,1.0
209,0.000982621779524394,5.013548,4.691845,0.160851,0.8272,0.8083,0.6179,0.7196,0.9533,1.0
210,0.0009822080355274718,4.99635,4.677384,0.159483,0.8213,0.7565,0.5942,0.7617,0.9579,1.0
211,0.0009817895132378724,5.012608,4.68606,0.163274,0.8366,0.7021,0.5657,0.771,0.9673,1.0
212,0.0009813662168028144,5.014417,4.689478,0.16247,0.8332,0.7681,0.5745,0.7523,0.9626,1.0
213,0.0009809381504168233,5.057575,4.730201,0.163687,0.8326,0.7783,0.616,0.7383,0.9579,1.0
214,0.0009805053183216924,4.991481,4.666649,0.162416,0.8341,0.7075,0.5986,0.771,0.9766,1.0
215,0.0009800677248064382,5.009764,4.679805,0.164979,0.8349,0.7711,0.6399,0.7383,0.9579,1.0
216,0.0009796253742072596,5.017869,4.686978,0.165445,0.8383,0.7479,0.5894,0.7523,0.9673,1.0
217,0.0009791782709074944,4.975041,4.656188,0.159427,0.8217,0.7659,0.5805,0.7336,0.9486,1.0
218,0.0009787264193375754,4.998912,4.676422,0.161245,0.8275,0.7671,0.5961,0.743,0.9533,1.0
219,0.0009782698239749871,4.991735,4.665078,0.163328,0.8353,0.73,0.5919,0.7664,0.9673,1.0
220,0.0009778084893442218,5.000925,4.674341,0.163292,0.829,0.7494,0.56,0.7383,0.9766,1.0
221,0.000977342420016733,4.97682,4.656204,0.160308,0.8227,0.7308,0.5623,0.7757,0.9486,1.0
222,0.0009768716206108921,4.983746,4.661807,0.16097,0.8285,0.7299,0.5652,0.743,0.972,1.0
223,0.0009763960957919414,5.03993,4.715488,0.162221,0.8226,0.6929,0.5217,0.7804,0.9766,1.0
224,0.0009759158502719481,4.964716,4.641133,0.161792,0.8305,0.7481,0.6049,0.7523,0.9579,1.0
